timestamp,pressure,panel_pressure,cyclone_pressure,dryer_pressure_drop,reservoir_pressure,temperature_oil,current,compressor_intake_state,outlet_valve_state,dryer_tower_state,load_command_state,low_pressure_state,pressure_switch_state,oil_level_state,flow_impulse
2026-01-01T00:00:00.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:01.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:02.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:03.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:04.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:05.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:06.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:07.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:08.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:09.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:10.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:11.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:12.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:13.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:14.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:15.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:16.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:17.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:18.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:19.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:20.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:21.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:22.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:23.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:24.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:25.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:26.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:27.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:28.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:29.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:30.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:31.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:32.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:33.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:34.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:35.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:36.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:37.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
2026-01-01T00:00:38.0000000Z,7.800000,6.800000,5.500000,0.600000,8.200000,68.000000,17.000000,1,1,0,1,0,1,1,0
